code,status,codeforiati:registry-identifier,codeforiati:organisation-type-code,codeforiati:organisation-type,codeforiati:hq-country-or-region
UG-NGB-5914-9186,active,crane,22,National NGO,Uganda
GB-CHC-1076235,active,bbcmediaaction,21,International NGO,United Kingdom
US-EIN-20-4451390,active,nrgi,21,International NGO,United States
SK-ZRSR-31784828,active,pontis,60,Foundation,Slovakia
NO-BRC-971277882,active,norad,10,Government,Norway
XI-IATI-5914-1107,active,stromme_ug,22,National NGO,Uganda
GB-CHC-1122299,active,interburns,21,International NGO,United Kingdom
GB-COH-06368740,active,dipr,21,International NGO,United Kingdom
GB-CHC-294329,active,progressio,21,International NGO,United Kingdom
GB-CHC-285908,active,wvuk,21,International NGO,United Kingdom
GB-COH-3031674,active,traidcraft,21,International NGO,United Kingdom
GB-COH-294860,active,addinternational,21,International NGO,United Kingdom
GB-CHC-1076497,active,sense_international,21,International NGO,United Kingdom
GB-CHC-1142476,active,kipkelion,23,Regional NGO,Kenya
GB-CHC-1050327,active,tlmew,21,International NGO,United Kingdom
GB-CHC-1089490,active,hhc,21,International NGO,United Kingdom
GB-COH-OC301540,active,kpmgllp,70,Private Sector,United Kingdom
UG-NGB-63360,active,prefa_1,22,National NGO,Uganda
NL-KVK-27293385,active,wo-men,22,National NGO,Netherlands
IN-MCA-U74999DL2004NPL131340,active,oxfamindia,22,National NGO,India
NL-KVK-41217595,active,aanl,21,International NGO,Netherlands
DK-CVR-88136411,active,ibis_denmark,21,International NGO,Denmark
NL-KVK-41160054,active,cordaid,21,International NGO,Netherlands
NP-SWC-27693,active,aasaman,22,National NGO,Nepal
MZ-MOJ-203D,active,alfalit,22,National NGO,Mozambique
NL-KVK-08215619-201210000,active,kad,10,Government,Netherlands
NL-KVK-41077447,active,ecdpm,80,"Academic, Training and Research",Netherlands
GB-CHC-1067406,active,dotw_uk,21,International NGO,United Kingdom
GB-CHC-1046001,active,ddp,21,International NGO,United Kingdom
GB-CHC-1113868,active,handinhand,21,International NGO,United Kingdom
BD-NAB-1301,active,tib,22,National NGO,Bangladesh
NL-KVK-61172863,active,dggf_financing_local_smes,60,Foundation,Netherlands
US-EIN-042347643,active,abt,70,Private Sector,United States
XM-DAC-84,active,lithuania_mfa,10,Government,Lithuania
IE-CHY-6998,active,caid_ireland,21,International NGO,Ireland
NL-KVK-34308169,active,freeagirl,60,Foundation,Netherlands
XI-IATI-1002,active,umn,21,International NGO,Nepal
GB-COH-1134415,active,mie-1134415,21,International NGO,United Kingdom
GB-CHC-214779,active,said-uk,21,International NGO,United Kingdom
US-EIN-13-3287064NAM,active,ia_nam,21,International NGO,United States
GB-CHC-1145119,active,varkeyfoundation,21,International NGO,Ghana
NL-KVK-34197379,active,dance4life,21,International NGO,Netherlands
US-EIN-95-3202116,active,wvi,21,International NGO,United States
GB-CHC-1105277,active,learningforlife,21,International NGO,United Kingdom
GB-CHC-1061352,active,orbis_uk,21,International NGO,United Kingdom
GB-GOV-21,active,scottish_government,10,Government,United Kingdom
